CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,Gender,Age,JoinDate,LastPurchaseDate,TotalSpent,LoyaltyPoints,PurchaseFrequency,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Education,Occupation,Hobbies,AccountCreationDate,AccountStatus,LastUpdated,ReferrerID,PromotionalEmails,FeedbackRating
Cust_1,Robert,Huynh,robert.grant@gmail.com,738-844-6793,"0542 Yoder Terrace North Tiffanyshire, GU 80448",Jenkinsburgh,Texas,Morocco,Female,64.0,2024-02-11,2024-01-02,762.36,250,2,Gold,Credit Card,Single,Others,Other,Reading,2024-01-01,Pending,21-02-2024,Cust_5439,TRUE,2.9
Cust_2,Betty,Holmes,alyssa.rodriguez@None,001-463-408-4110,"408 Benson Ranch Brennanshire, GU 66288",Patrickbury,Oklahoma,Vanuatu,Female,44.0,2024-04-23,2024-01-02,2420.65,250,6,Others,Credit Card,Others,Bachelor,NA,Reading,2024-10-07,Active,05-03-2024,Cust_6900,FALSE,1.4
Cust_3,Henry,Lee,cody.huff@gmail.com,001-735-575-1807,"4785 Richard Squares Apt. 926 Anneport, NH 01175",South Kimberlyton,Tennessee,El Salvador,Female,44.0,2024-04-09,2024-07-09,2329.57,250,6,Platinum,Cash,Married,Bachelor,NA,Reading,2024-07-19,Pending,10-10-2024,Cust_7180,TRUE,1.9
Cust_4,Ashley,Mason,daniel.weber@None,488-878-1214,"703 Bray Mills Jenkinsstad, ME 91047",Lopezview,Indiana,Northern Mariana Islands,Female,44.0,2024-04-11,2024-07-31,4726.23,369,6,Platinum,Credit Card,Divorced,High School,Doctor,Others,2024-07-02,Active,02-06-2024,Referred by None,FALSE,2.9
Cust_5,Joshua,Jordan,nicole.kennedy@gmail.com,2806518579,"472 James Summit Suite 131 Kevinfurt, NJ 85228",New Emilybury,Wisconsin,British Virgin Islands,Male,39.0,2024-01-01,2024-01-02,7938.49,250,6,Silver,Debit Card,Divorced,High School,Teacher,Others,2024-05-11,Active,29-02-2024,Cust_7421,FALSE,4.1
Cust_6,Jonathan,Cox,joseph.robinson@None,359-921-8444,"75213 Martinez Ford Suite 218 Lake Kristine, NM 86645",West Michellefort,New Mexico,Central African Republic,Female,52.0,2024-01-01,2024-01-02,6003.36,279,6,Gold,PayPal,Single,Bachelor,Doctor,Music,2024-01-01,Active,31-05-2024,Referred by None,TRUE,4.7
Cust_7,Beth,Jones,jennifer.butler@yahoo.com,477836-6698,"459 Melinda Hill North Megan, FM 12332",Ramirezview,Pennsylvania,French Polynesia,Female,30.0,2024-01-01,2024-01-02,5387.02,250,6,Gold,Cash,Married,Master,Engineer,Sports,2024-04-30,Pending,21-08-2024,Referred by None,TRUE,2.9
Cust_8,Carolyn,Graham,charles.nelson@gmail.com,001-519-674-9319,"838 Allen Shores Apt. 344 Lake Amyton, MA 38992",Petersmouth,Wyoming,Montserrat,Female,64.0,2024-08-07,2024-01-02,2720.93,192,5,Gold,Debit Card,Single,Bachelor,Doctor,Sports,2024-01-20,Pending,29-01-2024,Referred by None,TRUE,2.9
Cust_9,Robert,Delacruz,amy.baker@None,001-941-791-8805,"96030 Harper Hills Suite 537 Morganborough, RI 65455",Perezborough,Kansas,Slovenia,Male,58.0,2024-01-01,2024-01-02,1156.94,433,10,Bronze,Credit Card,Married,Bachelor,Doctor,Music,2024-09-09,Inactive,29-07-2024,Referred by None,TRUE,2.9
Cust_10,Margaret,Patel,alexander.james@gmail.com,001-738-614-8513,"423 Yvonne Run Apt. 979 Terrimouth, MD 54200",Alexanderborough,Arizona,Bhutan,Male,34.0,2024-10-13,2024-01-02,4990.28,222,6,Platinum,Credit Card,Others,High School,Teacher,Others,2024-07-28,Inactive,07-09-2024,Cust_2194,FALSE,2.2
