TransactionID,CustomerID,ProductID,TransactionDate,Quantity,PricePerUnit,TotalAmount,PaymentMethod,RegionID,Discount,TransactionStatus,ShippingAddress,ShippingCost,RefundedAmount,ShippingDate,DeliveryDate,CreatedAt,UpdatedAt,ProductRating,LoyaltyPointsEarned,GiftCardUsed,GiftCardAmount,TransactionType,Total Cost
Txn_1,Cust_5092,Prod_10,03-07-2024,5,57.58,50.22,Debit Card,1,5,Unknown,"6724 Robert Village Suite 384 Seanville, AR 07904",7.4,0,02-01-2024,05-01-2024,01-03-2024,10-04-2024,2.7,50,TRUE,11.31,Online,287.9
Txn_2,Cust_745,Prod_33,01-01-2024,5,50.22,50.22,Online Payment,1,0,Unknown,"2694 Raven Forges Apt. 043 South Davidstad, AS 22141",7.4,58.83,26-08-2024,15-02-2024,13-04-2024,30-04-2024,3,50,FALSE,13.86,Online,251.1
Txn_3,Cust_3006,Prod_5,24-07-2024,3,36.64,109.92,Credit Card,2,11,Pending,"85994 Robertson Courts Apt. 834 Andrewville, AS 37688",7.4,0,02-01-2024,12-06-2024,19-01-2024,02-08-2024,3,14,FALSE,25,Unknown,109.92
Txn_4,Cust_9483,Prod_19,16-08-2024,5,50.22,50.22,Cash,3,2,Pending,"705 Lauren Dam Suite 016 Robertton, IN 45435",11,0,02-01-2024,05-01-2024,21-09-2024,17-02-2024,4.4,50,TRUE,25,Unknown,251.1
Txn_5,Cust_5062,Prod_44,01-01-2024,6,99.1,594.6,Online Payment,3,5,Failed,"02934 Michele Causeway Port Sarah, IL 21907",1.39,0,28-02-2024,05-01-2024,26-07-2024,02-03-2024,4.5,96,FALSE,4.64,Online,594.6
Txn_6,Cust_5057,Prod_25,11-05-2024,5,20.38,50.22,Online Payment,2,0,Failed,"27356 Jay Canyon New Jason, NJ 12316",4.9,22.34,07-04-2024,10-04-2024,26-05-2024,11-08-2024,3,50,TRUE,25,In-Store,101.9
Txn_7,Cust_8143,Prod_24,21-03-2024,10,69.37,693.7,Credit Card,1,14,Failed,"3343 Christopher Park Apt. 457 Youngborough, MD 61845",7.4,0,27-09-2024,26-03-2024,15-08-2024,31-03-2024,4.1,96,FALSE,25,Unknown,693.7
Txn_8,Cust_949,Prod_21,01-01-2024,9,7.27,65.43,Online Payment,4,0,Pending,"66734 Mendez Divide Apt. 094 Stephenton, ME 80050",7.4,0,02-01-2024,18-04-2024,03-09-2024,24-07-2024,4.8,22,TRUE,10.69,In-Store,65.43
Txn_9,Cust_532,Prod_50,01-02-2024,7,95.47,668.29,Credit Card,1,3,Pending,"349 Brooke Creek North Amybury, OR 07364",7.4,96.09,22-06-2024,05-01-2024,30-01-2024,02-08-2024,3,27,FALSE,29.8,Unknown,668.29
Txn_10,Cust_519,Prod_38,01-01-2024,6,50.22,50.22,Cash,2,15,Failed,"73333 Lopez Land Martinton, GA 78222",7.4,47.07,02-01-2024,11-07-2024,23-09-2024,31-07-2024,3,50,FALSE,25,In-Store,301.32
Txn_11,Cust_8391,Prod_44,01-01-2024,5,50.22,50.22,Cash,2,7,Pending,"52576 Wiggins Parks Apt. 603 Codymouth, MA 71044",14.1,52.76,19-01-2024,05-01-2024,08-04-2024,02-03-2024,3,80,FALSE,25,Online,251.1
Txn_12,Cust_4355,Prod_43,01-01-2024,5,50.22,50.22,Debit Card,1,5,Completed,"9854 Wells Rest Apt. 006 Rodneyhaven, PA 93867",13.84,38.26,02-01-2024,05-01-2024,08-05-2024,19-07-2024,3,99,FALSE,28.05,Online,251.1
Txn_13,Cust_3183,Prod_6,01-01-2024,8,56.57,452.56,Credit Card,3,5,Completed,"2937 Brianna Curve Anthonyhaven, PR 00707",1.98,0,02-01-2024,05-01-2024,15-08-2024,14-01-2024,4.1,50,TRUE,25,Unknown,452.56
Txn_14,Cust_7589,Prod_28,08-08-2024,7,50.22,50.22,Others,1,5,Completed,"658 Gregory Pike Suite 572 East Jason, MA 68858",7.4,0,27-08-2024,27-01-2024,05-08-2024,18-03-2024,1.7,50,FALSE,9.72,Online,351.54
Txn_15,Cust_3565,Prod_31,05-08-2024,5,96.76,50.22,Cash,2,0,Unknown,"1906 Sophia Stream Suite 795 Brandymouth, AR 28948",0.3,0,02-01-2024,30-04-2024,12-07-2024,19-08-2024,1.4,50,TRUE,17.32,In-Store,483.8
Txn_16,Cust_7490,Prod_7,27-04-2024,5,50.22,50.22,Credit Card,2,5,Completed,"2207 Owen Prairie Houstonbury, NH 74653",12.41,0,02-01-2024,05-01-2024,17-05-2024,06-03-2024,2.7,23,TRUE,25,In-Store,251.1
Txn_17,Cust_3379,Prod_7,01-01-2024,5,48.07,50.22,Debit Card,3,5,Unknown,"79676 Small Alley Corystad, KS 02268",4.96,57.07,02-01-2024,27-05-2024,01-10-2024,25-07-2024,3,50,TRUE,25,Unknown,240.35
Txn_18,Cust_7068,Prod_35,01-01-2024,2,50.22,50.22,Others,1,15,Unknown,"PSC 4180, Box 1147 APO AA 91064",5.86,0,03-02-2024,05-01-2024,28-09-2024,26-06-2024,2,41,TRUE,25,Unknown,100.44
Txn_19,Cust_3000,Prod_7,01-01-2024,5,72.26,50.22,Others,2,5,Pending,"618 Scott Streets Suite 807 South Judith, CA 71345",7.7,42.29,22-08-2024,05-01-2024,25-09-2024,23-09-2024,2.5,96,FALSE,37.34,Unknown,361.3
Txn_20,Cust_3132,Prod_35,01-01-2024,2,50.22,50.22,Online Payment,1,11,Pending,"08782 Davis Gardens Juanhaven, IL 50761",12.64,0,24-05-2024,05-01-2024,29-01-2024,25-02-2024,3,95,FALSE,25,In-Store,100.44
Txn_21,Cust_5966,Prod_9,03-07-2024,5,50.22,50.22,Credit Card,1,15,Pending,"74115 Jessica Curve Jonesmouth, WV 74947",9.61,28.23,02-01-2024,05-01-2024,19-01-2024,28-04-2024,3,81,TRUE,44.88,Online,251.1
Txn_22,Cust_1584,Prod_49,01-01-2024,5,31.44,50.22,Cash,2,5,Failed,"PSC 7889, Box 4358 APO AA 45890",7.4,0,02-01-2024,05-01-2024,18-05-2024,20-01-2024,4.8,14,TRUE,25.57,In-Store,157.2
Txn_23,Cust_3127,Prod_29,11-04-2024,2,34.4,68.8,Debit Card,1,0,Failed,"48486 Stewart Valley Apt. 061 East Dakotaport, FM 55117",4.1,0,09-09-2024,28-04-2024,25-09-2024,22-04-2024,3,91,TRUE,25,In-Store,68.8
Txn_24,Cust_6853,Prod_6,10-04-2024,5,50.22,50.22,Credit Card,3,4,Unknown,"45088 Zachary Union Harrishaven, IL 32827",9.41,55.89,06-07-2024,25-06-2024,20-01-2024,24-08-2024,3,50,FALSE,26.61,In-Store,251.1
Txn_25,Cust_993,Prod_18,01-01-2024,10,50.22,50.22,Credit Card,3,0,Failed,"48517 Roman Mountain Suite 164 New Mark, IL 96735",7.4,49.81,02-01-2024,13-08-2024,18-06-2024,16-04-2024,4,50,TRUE,47.1,Unknown,502.2
Txn_26,Cust_4444,Prod_37,09-10-2024,5,50.22,50.22,Cash,1,5,Unknown,"2260 Vincent Lakes Suite 422 Krystalfurt, WV 98110",5.73,0,01-04-2024,17-01-2024,29-08-2024,22-04-2024,3,14,FALSE,29.85,In-Store,251.1
